date,l_ipn,r_asn,f
2006-07-01,0,701,1
2006-07-01,0,714,1
2006-07-01,0,1239,1
2006-07-01,0,1680,1
2006-07-01,0,2514,1
2006-07-01,0,3320,1
2006-07-01,0,3561,13
2006-07-01,0,4134,3
2006-07-01,0,5617,2
2006-07-01,0,6478,1
2006-07-01,0,6713,1
2006-07-01,0,7132,1
2006-07-01,0,9105,1
2006-07-01,0,10738,1
2006-07-01,0,10994,1
2006-07-01,0,12334,1
2006-07-01,0,12524,1
2006-07-01,0,12542,1
2006-07-01,0,13343,1
2006-07-01,0,13446,1
2006-07-01,0,13462,20
2006-07-01,0,13867,1
2006-07-01,0,13989,1
2006-07-01,0,14501,37
2006-07-01,0,16755,1
2006-07-01,0,17228,1
2006-07-01,0,19262,1
2006-07-01,0,19444,1
2006-07-01,0,20258,1
2006-07-01,0,20299,1
2006-07-01,0,20685,1
2006-07-01,0,21003,1
2006-07-01,0,24915,2
2006-07-01,0,29571,1
2006-07-01,0,32636,1
2006-07-01,1,680,1
2006-07-01,1,1239,6
2006-07-01,1,2828,2
2006-07-01,1,3265,519
2006-07-01,1,4134,9
2006-07-01,1,4804,1
2006-07-01,1,4808,3
2006-07-01,1,6713,7
2006-07-01,1,6830,1
2006-07-01,1,8282,21
2006-07-01,1,9768,1
2006-07-01,1,11908,5
2006-07-01,1,12859,52
2006-07-01,1,14501,3